Player Passing 2024-2025 Big 5 European Leagues (per 90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,
2391,Hiroki Sekine,jp JPN,DF,Reims,fr Ligue 1,21,2002,9.9,41.1,50.9,80.8,654.1,236.4,22,24,91.6,14.7,17.8,83,3.43,5.86,58.6,0,0.02,0.05,-0.02,0.3,3.23,0.91,0.51,3.94,Matches
2392,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32,1992,38,13.7,26.3,52,507.6,431.8,2.08,2.08,100,4.42,4.5,98.2,7.13,19.3,36.9,0,0.01,0.01,-0.01,0.05,1.18,0.11,0,0.05,Matches
2393,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,30,1993,32.1,34.1,42.3,80.8,518,159.8,18.6,20.3,91.6,12.7,15.3,83.5,1.84,3.99,46.1,0.12,0.09,0.05,0.04,0.78,2.18,0.87,0.4,2.49,Matches
2394,Antoine Semenyo,gh GHA,FW,Bournemouth,eng Premier League,24,2000,35.6,23.1,31.4,73.4,327.9,81.9,14.1,16.5,85.5,7.08,9.38,75.4,1.04,2.72,38.1,0.14,0.16,0.12,-0.02,1.29,1.38,1.26,0.22,3.06,Matches
2395,Marvin Senaya,tg TOG,DF,Strasbourg,fr Ligue 1,23,2001,2.5,44,55.2,79.7,741.6,238.4,19.2,20.4,94.1,20.8,26,80,2.8,5.6,50,0,0.04,0,-0.04,0.8,2.4,0.4,0.4,2,Matches
2396,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,27,1997,12.3,45.6,59.8,76.3,937.9,472.8,16.2,18.5,87.3,21.7,25.3,85.9,7.24,14.6,49.4,0,0.02,0.04,-0.02,0.24,6.42,1.06,0.24,5.04,Matches
2397,Stefano Sensi,it ITA,MF,Monza,it Serie A,28,1995,3,85.7,99.7,86,1617.3,499.7,32.3,34.3,94.2,43.3,47.7,90.9,9,15.3,58.7,0,0.07,0.1,-0.07,1,12,1.33,0.33,12.7,Matches
2398,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,27,1997,15.3,23.3,31.2,74.8,384.2,110.7,11.4,13.7,83.3,8.89,11,80.5,2.09,3.4,61.5,0.07,0.07,0.03,0,0.65,3.07,0.33,0.07,3.66,Matches
2399,Sergi,es ESP,DF,Leganés,es La Liga,32,1992,32.9,38.6,46.1,83.7,766.3,298.6,12,12.9,92.7,21.6,23.3,92.6,4.74,8.81,53.8,0,0.01,0.02,-0.01,0.15,1.79,0.15,0,2.34,Matches
2400,Nicolás Serrano,es ESP,FW,Athletic Club,es La Liga,21,2003,1.2,20.8,36.7,56.8,285,75,11.7,15,77.8,9.17,12.5,73.3,0,7.5,0,0,0,0.08,0,0.83,1.67,0.83,0.83,3.33,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2401,Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,de Bundesliga,21,2003,26.4,15.7,23.3,67.6,194.4,43.4,10.2,13.5,75.3,3.56,5.45,65.3,0.49,0.8,61.9,0.19,0.08,0.06,0.11,0.72,0.95,0.34,0,1.74,Matches
2402,Ryan Sessegnon,eng ENG,"FW,DF",Fulham,eng Premier League,24,2000,6.4,29.5,37.7,78.4,426.3,134.2,18.4,21.3,86.8,9.06,11.4,79.5,1.25,2.03,61.5,0.31,0.17,0.17,0.14,1.88,2.81,1.09,0.31,3.44,Matches
2403,Stephan El Shaarawy,it ITA,"DF,MF",Roma,it Serie A,31,1992,12.2,32.7,41.3,79.2,468,131.5,19.5,22,88.5,10.9,13.9,78.7,1.31,2.46,53.3,0.33,0.1,0.16,0.23,1.23,1.56,1.72,0.25,4.02,Matches
2404,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,29,1995,3.9,63.8,74.4,85.9,1090.3,355.9,30.3,32.6,92.9,27.7,30.5,90.8,5.13,8.46,60.6,0,0.18,0.21,-0.18,1.28,5.13,0.77,0.26,6.15,Matches
2405,Alen Sherri,al ALB,GK,Cagliari,it Serie A,26,1997,6.9,23.6,32.6,72.4,593.8,422.6,5.8,5.8,100,11.4,11.6,98.8,6.23,15.1,41.3,0,0,0,0,0.14,0.29,0,0,0,Matches
2406,Eldor Shomurodov,uz UZB,"FW,MF",Roma,it Serie A,29,1995,12.2,17.6,23.4,75.2,236.6,38.3,11.1,13.6,81.3,4.92,5.9,83.3,0.57,0.74,77.8,0.33,0.11,0.11,0.22,1.39,0.82,0.49,0,1.72,Matches
2407,Djibril Sidibé,fr FRA,DF,Toulouse,fr Ligue 1,32,1992,23.3,43.7,54.8,79.7,757.6,347,18.5,20.6,89.8,20.6,24.5,84.1,3.39,7.04,48.2,0.13,0.12,0.15,0,0.77,3.82,1.29,0.52,5.19,Matches
2408,Armindo Sieb,de GER,"FW,MF",Mainz 05,de Bundesliga,21,2003,8.5,16,22.9,69.7,213.4,64,9.06,11.4,79.4,5.41,7.76,69.7,0.35,0.82,42.9,0.24,0.13,0.07,0.11,0.94,1.41,0.94,0.24,2.12,Matches
2409,Benjamin Siegrist,ch SUI,GK,Genoa,it Serie A,32,1992,1.7,28.2,42.9,65.8,792.4,537.6,2.94,2.94,100,14.1,14.1,100,11.2,25.9,43.2,0,0,0,0,0,0,0,0,0,Matches
2410,Vincent Sierro,ch SUI,MF,Toulouse,fr Ligue 1,28,1995,26.7,40.3,51.4,78.4,714.3,218.1,17.3,20,86.7,18.8,22.1,85.2,3.33,7.12,46.8,0.04,0.13,0.13,-0.1,1.12,3.82,0.97,0.04,5.51,Matches
2411,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,24,2000,13.1,44.4,54.9,80.8,918.9,434,13.5,15.2,88.9,24.3,27.1,89.6,6.18,11,56.3,0,0.04,0.05,-0.04,0.46,2.67,0.61,0.15,2.37,Matches
2412,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,eng Premier League,19,2005,0,1,2,50,25,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
2413,Kiliann Sildillia,fr FRA,DF,Freiburg,de Bundesliga,22,2002,8.9,37.8,51.6,73.2,704.9,242.9,16.5,19.8,83.5,15.2,19.7,77.1,5.62,9.33,60.2,0,0.08,0.08,-0.08,0.79,2.25,0.67,0.45,3.26,Matches
2414,André Silva,pt POR,FW,Werder Bremen,de Bundesliga,28,1995,4.2,19.5,27.6,70.7,270.7,44.8,9.29,11.4,81.3,6.19,8.1,76.5,0.95,1.19,80,0,0.1,0.14,-0.1,1.19,0.71,1.43,0.24,2.38,Matches
2415,André Silva,pt POR,"FW,MF",RB Leipzig,de Bundesliga,28,1995,1.5,20,28,71.4,290,104,12,16,75,5.33,6,88.9,2,2,100,1.33,0.4,0.07,0.93,2,2,0.67,0,2.67,Matches
2416,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,29,1994,29.7,52.1,60,86.8,796.2,151.5,29.5,32,92.4,18.7,21.3,87.4,2.76,4.18,66.1,0.13,0.17,0.15,-0.04,1.78,2.93,1.35,0.24,4.51,Matches
2417,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,27,1997,21.4,47.9,64.6,74.1,757.9,269.7,26.6,29.6,89.9,16.8,22.2,75.4,3.6,9.58,37.6,0.28,0.23,0.28,0.05,1.64,3.93,1.78,0.56,4.77,Matches
2418,Fábio Silva,pt POR,FW,Las Palmas,es La Liga,22,2002,20.7,14.9,22.5,66.3,200.4,34.3,8.74,12.1,72.4,4.01,6.04,66.4,0.77,1.4,55.2,0.14,0.1,0.09,0.05,0.77,0.63,0.68,0.14,1.26,Matches
2419,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,eng Premier League,24,1999,9.5,12.4,20.6,60.2,178.1,49.6,6.95,9.05,76.7,3.89,6.32,61.7,0.63,2,31.6,0.11,0.31,0.19,-0.2,1.47,0.42,0.95,0.32,1.89,Matches
2420,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,eng Premier League,18,2006,0.3,23.3,26.7,87.5,286.7,23.3,20,23.3,85.7,3.33,3.33,100,0,0,,0,0,0,0,0,0,0,0,0,Matches
2421,Rui Silva,pt POR,GK,Betis,es La Liga,30,1994,15,27.5,34.9,78.6,685.5,413.1,4.4,4.4,100,16.7,16.7,100,6.2,13.5,45.8,0,0.01,0,-0.01,0.13,0.33,0,0,0,Matches
2422,Marco Silvestri,it ITA,GK,Empoli,it Serie A,33,1991,5,18.8,29.6,63.5,605.2,501.4,3.8,3.8,100,6.6,6.8,97.1,8.4,19,44.2,0,0,0,0,0,1.6,0,0,0,Matches
2423,Abdallah Sima,sn SEN,"FW,MF",Brest,fr Ligue 1,23,2001,13.8,16.7,24.1,69.6,227.5,47.8,10.3,13.3,77.6,5.22,7.61,68.6,0.58,0.72,80,0.14,0.07,0.07,0.07,0.94,0.94,0.43,0.07,1.74,Matches
2424,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,24,2000,0.6,70,83.3,84,1298.3,510,25,31.7,78.9,35,38.3,91.3,8.33,8.33,100,0,0.5,0.33,-0.5,5,8.33,3.33,1.67,11.7,Matches
2425,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,29,1995,4.7,16.8,24,69.9,210.2,32.1,10.2,13.4,76.2,5.74,7.45,77.1,0,0.43,0,0.21,0.17,0.06,0.04,1.7,1.06,0.43,0,1.49,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2426,Giuliano Simeone,ar ARG,MF,Atlético Madrid,es La Liga,21,2002,21.4,28,37.1,75.5,334.5,97,20.1,23.4,86,5.75,8.13,70.7,0.51,1.54,33.3,0.28,0.24,0.22,0.04,1.12,1.4,1.26,0.47,2.29,Matches
2427,Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,29,1995,29,17.4,28.1,62,306.8,86.9,8.03,10.2,79,7.03,10.6,66.7,1.93,4.86,39.7,0.34,0.23,0.2,0.11,1.93,0.93,1.41,0.83,2.03,Matches
2428,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27,1997,21,21.7,31.1,69.6,638.6,513.5,3.05,3.05,100,11.3,11.5,98.3,7.24,16.3,44.3,0,0,0,0,0,0.57,0,0,0,Matches
2429,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,21,2003,23.9,39.5,50.3,78.6,618.9,167.2,21.7,24.8,87.5,12.6,15.4,82.1,3.64,6.61,55.1,0.25,0.26,0.25,-0.01,2.13,3.31,2.51,0.17,5.86,Matches
2430,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,eng Premier League,18,2005,1.1,97.3,104.5,93,1594.5,499.1,42.7,44.5,95.9,51.8,53.6,96.6,2.73,6.36,42.9,0,0,0,0,0,2.73,0,0,2.73,Matches
2431,Danel Sinani,lu LUX,"FW,MF",St. Pauli,de Bundesliga,27,1997,13.9,28.1,39.3,71.4,445.8,144.7,14.6,16.8,86.8,9.21,11.9,77.6,2.81,7.19,39,0.14,0.22,0.18,-0.07,1.73,3.24,1.15,0.22,4.32,Matches
2432,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,fr Ligue 1,24,1999,25.5,20.7,27,76.7,275.1,60,12.7,15.3,83.5,5.92,7.22,82.1,0.59,1.06,55.6,0.31,0.22,0.13,0.1,1.45,1.1,0.67,0.12,2.43,Matches
2433,Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,23,2000,23.3,53.7,62.3,86.2,1003.8,342,19.3,20.9,92.2,30,32.4,92.3,3.95,7.55,52.3,0.09,0.06,0.06,0.02,0.3,4.38,0.47,0.04,5.06,Matches
2434,Luis Sinisterra,co COL,"FW,MF",Bournemouth,eng Premier League,25,1999,2.6,28.1,35.8,78.5,410.4,76.9,16.9,18.5,91.7,8.46,12.3,68.8,1.92,1.92,100,0.38,0.54,0.5,-0.15,3.46,2.31,0.77,0.77,2.31,Matches
2435,Daley Sinkgraven,nl NED,DF,Las Palmas,es La Liga,29,1995,1,50,66,75.8,682,211,31,31,100,17,25,68,1,7,14.3,0,0,0,0,1,2,1,0,3,Matches
2436,Tobias Sippel,de GER,GK,Gladbach,de Bundesliga,36,1988,0.7,28.6,48.6,58.8,1181.4,991.4,1.43,1.43,100,11.4,11.4,100,15.7,35.7,44,0,0,0,0,0,0,0,0,0,Matches
2437,Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,es La Liga,28,1995,6.8,64,70.7,90.4,1148.4,435.1,23.8,25.4,93.6,35,37.1,94.4,4.71,6.76,69.6,0,0,0.01,0,0.15,4.85,0,0,6.32,Matches
2438,Ayanda Sishuba,be BEL,FW,Rennes,fr Ligue 1,19,2005,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
2439,Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,fr Ligue 1,28,1995,9.1,13,19.6,66.3,190.5,22.3,7.8,10.2,76.3,3.74,5.6,66.7,0.88,1.32,66.7,0.11,0.07,0.03,0.04,0.77,0.99,0.11,0,1.32,Matches
2440,Ibrahima Sissoko,ml MLI,MF,Bochum,de Bundesliga,26,1997,29,27.7,37,75,464.6,147,12.8,15.3,83.5,12.1,14.9,81,2.21,4.14,53.3,0.03,0.06,0.09,-0.02,0.93,2.66,0.55,0.17,3.62,Matches
2441,Niama Sissoko,ml MLI,"FW,MF",Reims,fr Ligue 1,18,2005,0.5,14,22,63.6,272,10,2,2,100,8,10,80,2,2,100,0,0,0,0,0,0,2,0,2,Matches
2442,Antonio Sivera,es ESP,GK,Alavés,es La Liga,27,1996,31.2,16.7,31,53.9,707.8,635,1.19,1.19,100,4.81,4.9,98,10.6,24.7,43.1,0,0,0.01,0,0.03,1.35,0.03,0,0.03,Matches
2443,Tim Skarke,de GER,"FW,MF",Union Berlin,de Bundesliga,27,1996,12.9,18.8,26.9,70,257.7,61.2,10.8,13.3,80.8,5.35,7.6,70.4,1.09,1.78,60.9,0.16,0.09,0.09,0.06,1.24,0.93,1.16,0.7,1.94,Matches
2444,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,de Bundesliga,29,1995,24.8,46.5,52.5,88.5,706.5,199.3,24.8,26.6,93.2,17.6,19.6,89.9,2.26,3.43,65.9,0.08,0.06,0.08,0.02,0.89,3.31,0.73,0,4.23,Matches
2445,Oliver Skipp,eng ENG,MF,Leicester City,eng Premier League,23,2000,12.5,33.5,40.2,83.5,511.9,125.4,17.1,19.8,86.6,13,14.2,91.6,1.68,2.88,58.3,0,0.02,0.02,-0.02,0.72,2.56,0.32,0,2.8,Matches
2446,Leo Skiri Østigård,no NOR,DF,Rennes,fr Ligue 1,24,1999,13.6,49.7,58.6,84.8,950,351,17,19.3,87.8,27.4,30.2,90.8,4.85,8.01,60.6,0,0.01,0.01,-0.01,0.15,3.09,0,0,3.68,Matches
2447,Leo Skiri Østigård,no NOR,DF,Hoffenheim,de Bundesliga,24,1999,10.3,47,56,83.9,857.2,356.9,17.6,19.4,90.5,23.9,26.7,89.5,4.17,7.86,53.1,0,0.01,0.03,-0.01,0.29,3.69,0.29,0.1,4.95,Matches
2448,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,33,1991,26.3,32.8,42,78,877.5,557.3,4.41,4.41,100,19.3,19.7,98.3,8.94,17.6,50.6,0,0,0,0,0,0.65,0,0,0,Matches
2449,Andreas Skov Olsen,dk DEN,"FW,MF",Wolfsburg,de Bundesliga,24,1999,5.9,36.8,45.8,80.4,623.2,130.2,17.3,20.2,85.7,14.4,16.4,87.6,3.73,6.78,55,0.17,0.32,0.22,-0.15,3.05,2.03,1.69,0.34,3.73,Matches
2450,Robert Skov,dk DEN,"DF,MF",Union Berlin,de Bundesliga,28,1996,9.5,32.1,48.7,65.9,568.8,248.5,15.5,18.2,85,11.7,17.5,66.9,4.21,9.68,43.5,0.21,0.25,0.37,-0.04,2,1.89,1.68,0.53,3.79,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2451,Milan Škriniar,sk SVK,DF,Paris S-G,fr Ligue 1,29,1995,4.2,86,89,96.5,1537.4,551.4,31.7,32.4,97.8,49.5,50.7,97.7,3.81,4.76,80,0,0.02,0,-0.02,0.24,3.57,0,0,4.76,Matches
2452,Steven Skrzybski,de GER,"MF,FW",Holstein Kiel,de Bundesliga,31,1992,14.7,21.2,30.3,70,370.1,111.9,9.8,12.5,78.3,8.84,11.9,74.3,2.11,4.22,50,0.2,0.2,0.22,0.01,1.5,2.45,1.09,0.48,4.35,Matches
2453,Naatan Skyttä,fi FIN,FW,Toulouse,fr Ligue 1,22,2002,0.1,40,40,100,320,10,40,40,100,0,0,,0,0,,0,0,0,0,0,10,0,0,0,Matches
2454,William Smallbone,ie IRL,MF,Southampton,eng Premier League,24,2000,7.7,35.1,46.2,75.8,571.3,156.2,16.9,20,84.4,14.5,17,85.5,2.6,6.88,37.7,0,0.09,0.12,-0.09,1.3,1.69,0.52,0.39,3.51,Matches
2455,Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,33,1991,17.7,29,38.4,75.7,477.5,153.8,13.8,15.5,88.7,12.5,15.8,79.6,1.81,5.03,36,0,0.02,0.04,-0.02,0.45,2.77,0.56,0.28,2.77,Matches
2456,Eric Smith,se SWE,"DF,MF",St. Pauli,de Bundesliga,27,1997,31.4,43.2,53.4,80.8,846.8,312.2,15.4,16.9,91.1,21.5,24.6,87.6,5.54,10.5,52.7,0.03,0.05,0.09,-0.02,0.89,3.76,0.61,0.13,3.76,Matches
2457,Justin Smith,ca CAN,MF,Espanyol,es La Liga,21,2003,2.3,17.4,26.5,65.6,284.3,71.7,6.96,10.9,64,8.7,11.3,76.9,0.87,2.61,33.3,0,0,0,0,0.43,1.3,0,0,2.61,Matches
2458,Emile Smith Rowe,eng ENG,MF,Fulham,eng Premier League,24,2000,22.7,40.6,45.1,90.1,578.9,107,24.1,26.1,92.6,14.5,15.3,94.8,0.93,1.28,72.4,0.13,0.06,0.09,0.07,1.06,3.52,0.66,0.04,5.55,Matches
2459,Ivan Smolčić,hr CRO,DF,Como,it Serie A,23,2000,7,46.7,56.3,83,855,264,21.6,23.7,91,18.7,21.7,86.2,5.86,9.86,59.4,0,0.01,0.01,-0.01,0.29,2.57,0.43,0,3.29,Matches
2460,Eduard Sobol,ua UKR,DF,Strasbourg,fr Ligue 1,29,1995,1.1,20,30.9,64.7,324.5,159.1,10.9,10.9,100,7.27,14.5,50,1.82,2.73,66.7,0,0,0,0,0,0.91,0,0,2.73,Matches
2461,Simon Sohm,ch SUI,MF,Parma,it Serie A,23,2001,33.2,31.6,37.1,85.2,505.2,138,15.5,17.3,89.2,13.1,15,87.2,2.02,3.01,67,0,0.06,0.06,-0.06,0.6,3.67,0.72,0.09,4.22,Matches
2462,Alex Sola,es ESP,"MF,FW",Getafe,es La Liga,25,1999,11.4,13.6,21.2,64,191,46.4,8.77,11,80,3.42,5.18,66.1,0.79,2.54,31,0.09,0.06,0.07,0.03,0.79,1.05,0.18,0.09,2.02,Matches
2463,Arnau Solà,es ESP,MF,Villarreal,es La Liga,21,2003,0.1,10,20,50,110,30,10,20,50,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
2464,Dominic Solanke,eng ENG,FW,Tottenham,eng Premier League,26,1997,24.5,10.4,14.7,70.6,140,38.5,6.29,8.37,75.1,2.78,3.55,78.2,0.49,0.73,66.7,0.12,0.12,0.05,0,0.57,1.14,0.37,0,1.92,Matches
2465,Ola Solbakken,no NOR,"MF,FW",Empoli,it Serie A,25,1998,8.4,16.8,23.7,70.9,273.9,74.6,9.17,11.9,77,5.24,7.14,73.3,1.67,2.5,66.7,0,0.05,0.04,-0.05,1.07,1.67,0.6,0.12,2.38,Matches
2466,Carlos Soler,es ESP,"MF,FW",West Ham,eng Premier League,27,1997,15.7,36.3,42.6,85.2,566.2,153.8,19.6,20.8,94.5,13.5,15.7,86.2,2.04,3.76,54.2,0.06,0.09,0.12,-0.03,1.15,2.74,0.83,0,3.57,Matches
2467,Julio Soler,ar ARG,"DF,FW",Bournemouth,eng Premier League,19,2005,0.1,110,140,78.6,1040,180,110,130,84.6,0,10,0,0,0,,0,0,0,0,0,0,0,0,0,Matches
2468,Oumar Solet,fr FRA,DF,Udinese,it Serie A,24,2000,18.6,52.8,59.7,88.5,1030.2,286,20.2,21.4,94.2,23.5,25.5,92.4,8.71,11.3,76.8,0.11,0.06,0.04,0.04,0.91,2.9,0.48,0.11,3.49,Matches
2469,Jhon Solis,co COL,MF,Girona,es La Liga,19,2004,5.9,44.7,50,89.5,678.8,150,24.1,25.4,94.7,18.8,20.7,91,1.19,2.03,58.3,0,0.02,0.05,-0.02,0.34,4.92,0.17,0.17,4.92,Matches
2470,Daniele Sommariva,it ITA,GK,Genoa,it Serie A,27,1997,0.3,16.7,50,33.3,480,356.7,3.33,3.33,100,10,10,100,3.33,36.7,9.1,0,0,0,0,0,3.33,0,0,0,Matches
2471,Yann Sommer,ch SUI,GK,Inter,it Serie A,35,1988,33,35.4,40.4,87.6,822.5,515.7,7.33,7.33,100,20.4,20.5,99.3,7.58,12.2,62,0,0,0,0,0,0.21,0,0,0.03,Matches
2472,David Soria,es ESP,GK,Getafe,es La Liga,31,1993,38,13.5,27.1,49.9,593.1,530.7,0.76,0.76,100,3.61,3.66,98.6,9.11,22.5,40.5,0,0,0.01,0,0,1.34,0.03,0,0.03,Matches
2473,Juan Soriano,es ESP,GK,Leganés,es La Liga,26,1997,6,16.3,30.8,53,585.5,487,2.83,2.83,100,5.83,5.83,100,7.67,22.2,34.6,0,0,0,0,0,0,0,0,0,Matches
2474,Borna Sosa,hr CRO,DF,Torino,it Serie A,26,1998,13.1,41.7,52.4,79.6,699.6,206,18.6,21,88.7,18.1,21.6,83.7,3.89,7.18,54.3,0,0.05,0.07,-0.05,0.84,3.28,1.68,0.92,3.89,Matches
2475,Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,eng Premier League,24,1999,3.3,20,29.4,68,307.9,85.8,10,14.2,70.2,7.27,10.6,68.6,1.52,2.12,71.4,0,0.15,0.12,-0.15,2.42,0.61,1.52,0.91,1.82,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2476,Hugo Sotelo,es ESP,MF,Celta Vigo,es La Liga,20,2003,13.9,62.8,73.2,85.8,1169.6,307.7,25.3,26.7,94.6,28.8,31.4,91.7,7.34,12.2,60,0,0.12,0.13,-0.12,1.37,7.19,0.86,0.22,5.97,Matches
2477,Florian Sotoca,fr FRA,"FW,MF",Lens,fr Ligue 1,33,1990,19.9,36.8,50.1,73.5,544.1,142.6,21,24.9,84.4,11.5,15.3,75.1,2.51,4.27,58.8,0.05,0.08,0.15,-0.03,0.9,3.72,1.46,0.45,5.28,Matches
2478,Riccardo Sottil,it ITA,"FW,MF",Fiorentina,it Serie A,25,1999,9.3,21.1,29.9,70.5,323.8,52,11.5,14.2,81.1,8.6,11.6,74.1,0.75,2.37,31.8,0.11,0.1,0.11,0.01,1.29,0.54,1.29,0.43,1.94,Matches
2479,Riccardo Sottil,it ITA,"FW,MF",Milan,it Serie A,25,1999,1.4,29.3,39.3,74.5,455.7,102.1,17.9,18.6,96.2,10,14.3,70,1.43,5,28.6,0,0.21,0.36,-0.21,2.14,1.43,2.14,1.43,2.14,Matches
2480,Tomáš Souček,cz CZE,MF,West Ham,eng Premier League,29,1995,28.5,25.1,34,73.8,414.4,113,12.8,16,79.6,9.3,12,77.3,2.28,3.4,67,0.04,0.04,0.05,0,0.49,2.18,0.28,0.04,2.6,Matches
2481,Matìas Soulé,ar ARG,"MF,DF",Roma,it Serie A,21,2003,19.8,39.6,48.2,82.2,603.9,144.9,22.8,24.9,91.7,12.3,15.2,81,2.98,5.15,57.8,0.25,0.26,0.17,-0.01,2.58,2.68,1.72,0.61,4.49,Matches
2482,Boubakary Soumaré,fr FRA,MF,Leicester City,eng Premier League,25,1999,24.1,44.5,51.2,87,671.8,179.9,24.1,26.2,91.9,17.2,19.5,87.9,1.74,2.49,70,0,0.02,0.04,-0.02,0.46,3.94,0.66,0.12,4.36,Matches
2483,Issa Soumaré,sn SEN,"FW,MF",Le Havre,fr Ligue 1,23,2000,21.1,16.1,26.3,61.2,238.4,56.8,8.82,12.3,71.8,5.12,8.15,62.8,1.09,2.61,41.8,0.19,0.15,0.09,0.04,1.33,0.81,0.76,0.19,2.13,Matches
2484,Djibril Sow,ch SUI,MF,Sevilla,es La Liga,27,1997,22.9,38.6,43.4,88.8,618.7,151,19.3,21,91.5,16,17.3,92.2,2.36,3.1,76.1,0.04,0.07,0.04,-0.03,0.92,3.8,0.44,0.04,4.37,Matches
2485,Saidou Sow,gn GUI,DF,Strasbourg,fr Ligue 1,22,2002,11.3,51.1,56.3,90.7,909.8,301.5,17.9,18.8,94.8,30.9,32.5,95.1,2.21,4.34,51,0.09,0.02,0.01,0.07,0.18,1.06,0.18,0,1.42,Matches
2486,Saidou Sow,gn GUI,DF,Nantes,fr Ligue 1,22,2002,8.9,37.3,44.8,83.2,710.1,279.2,13.4,13.8,96.7,18.7,20.1,92.7,4.49,9.66,46.5,0,0.04,0,-0.04,0.22,2.36,0,0,1.69,Matches
2487,Djed Spence,eng ENG,DF,Tottenham,eng Premier League,23,2000,19.9,49.8,58.3,85.4,714.8,214.5,29.2,31.1,94,17.4,20.3,85.9,1.61,3.37,47.8,0.1,0.09,0.07,0.01,0.55,3.92,0.9,0.4,5.28,Matches
2488,Leonardo Spinazzola,it ITA,"DF,FW",Napoli,it Serie A,31,1993,16.9,42,53,79.3,732.4,222,18.6,20.5,91,18.4,22.2,82.7,4.08,7.16,57,0.06,0.21,0.2,-0.15,1.54,3.67,2.01,0.47,5.21,Matches
2489,Marco Sportiello,it ITA,GK,Milan,it Serie A,32,1992,1.4,36.4,43.6,83.6,884.3,468.6,6.43,6.43,100,22.1,22.9,96.9,7.86,13.6,57.9,0,0,0,0,0,0.71,0,0,0,Matches
2490,Anton Stach,de GER,"MF,DF",Hoffenheim,de Bundesliga,25,1998,28.7,44.3,53.6,82.6,783.3,279.9,18.6,21.3,87.4,20.5,23.2,88.2,3.87,6.34,61,0.07,0.08,0.11,-0.01,0.91,4.18,1.15,0.35,5.3,Matches
2491,Jens Stage,dk DEN,MF,Werder Bremen,de Bundesliga,27,1996,24.5,31.3,40.7,77,520.4,159.7,15.3,18,84.8,11.7,14.4,81,2.9,5.22,55.5,0.2,0.11,0.16,0.09,0.94,2.73,1.06,0.16,4.24,Matches
2492,Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,24,2000,9.7,73.8,80.6,91.6,1272,384.7,34.8,36.4,95.8,33.9,36.5,92.9,4.95,6.8,72.7,0.21,0.15,0.14,0.05,1.44,7.94,1.24,0.21,7.84,Matches
